Disease	Link	Source	MSHOld	MSH.Top	Gene	GeneScore	Rank	pval2	snp_id	pvalue	SNP.Trait.Cnt	snp.ld	r2	eqtl	rdb	Cat.rdb	eCat	AAEffect	AAScore	Gene.Trait.Cnt	OrphID	PPterm	Name	MSH	ensembl_id
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	LCNL1	0	10	1e-08	rs908832	0	1	rs13306	0.536	no	no		9		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000214402
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	NRG1	6	1	1e-08	rs3924999	0	1	rs3924999	1	no	no		0	missense_variant	0.0989172505021801	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000157168
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	PTGDS	0	11	1e-08	rs908832	0	1	rs35848246	0.536	no	no		9		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000107317
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	RANBP1	0	8	1e-08	rs165599	0	1	rs2531716	0.63	no	yes	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000099901
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	SEPT5	0	9	1e-08	rs165599	0	1	rs2531716	0.63	no	yes	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000184702
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	TPRN	0	9	1e-08	rs908832	0	1	rs7865849	0.61	no	yes	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000176058
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	TRMT2A	0	10	1e-08	rs165599	0	1	rs2531716	0.63	no	yes	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000099899
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	TXNRD2	2	2	1e-08	rs737865	0	1	rs737865	1	no	no		9		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000184470
#143465 ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	OMIM:143465	Omim	attention deficit disorder with hyperactivity	Mental Disorders	ADRA2A	2	1	1e-08	rs1800544	0	1	rs1800544	1	no	no		9		1	2	NA	attention deficit disorder with hyperactivity	Attention Deficit Disorder with Hyperactivity	Attention Deficit Disorder with Hyperactivity	ENSG00000150594
#143465 ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	OMIM:143465	Omim	attention deficit disorder with hyperactivity	Mental Disorders	BBIP1	0	4	1e-08	rs1800544	0	1	rs10885062	0.75	no	no		9		1	2	NA	attention deficit disorder with hyperactivity	Attention Deficit Disorder with Hyperactivity	Attention Deficit Disorder with Hyperactivity	ENSG00000214413
#143465 ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	OMIM:143465	Omim	attention deficit disorder with hyperactivity	Mental Disorders	PDCD4	1	3	1e-08	rs1800544	0	1	rs1327549	0.771	no	no		9		1	2	NA	attention deficit disorder with hyperactivity	Attention Deficit Disorder with Hyperactivity	Attention Deficit Disorder with Hyperactivity	ENSG00000150593
#143465 ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	OMIM:143465	Omim	attention deficit disorder with hyperactivity	Mental Disorders	SHOC2	1	2	1e-08	rs1800544	0	1	rs1327551	0.8	no	no		9		1	2	NA	attention deficit disorder with hyperactivity	Attention Deficit Disorder with Hyperactivity	Attention Deficit Disorder with Hyperactivity	ENSG00000108061
#143465 ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	OMIM:143465	Omim	attention deficit disorder with hyperactivity	Mental Disorders	SLC6A3	2	1	1e-08	rs27072	0	1	rs27072	1	no	no		9		1	4	NA	attention deficit disorder with hyperactivity	Attention Deficit Disorder with Hyperactivity	Attention Deficit Disorder with Hyperactivity	ENSG00000142319
#143465 ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	OMIM:143465	Omim	attention deficit disorder with hyperactivity	Mental Disorders	TBC1D15	1	3	1e-08	rs11178997	0	1	rs79544955	0.85	no	no		9		1	2	NA	attention deficit disorder with hyperactivity	Attention Deficit Disorder with Hyperactivity	Attention Deficit Disorder with Hyperactivity	ENSG00000121749
#143465 ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD	OMIM:143465	Omim	attention deficit disorder with hyperactivity	Mental Disorders	TPH2	2	1	1e-08	rs11178997	0	1	rs11178997	1	no	no		9		1	4	NA	attention deficit disorder with hyperactivity	Attention Deficit Disorder with Hyperactivity	Attention Deficit Disorder with Hyperactivity	ENSG00000139287
#152700 SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	OMIM:152700	Omim	lupus erythematosus, systemic	Skin and Connective Tissue Diseases	CRP	2	1	1e-08	rs1205	0	1	rs1205	1	no	no		9		1	4	NA	lupus erythematosus, systemic	Lupus Erythematosus, Systemic	Lupus Erythematosus, Systemic	ENSG00000132693
#176807 PROSTATE CANCER	OMIM:176807	Omim	prostatic neoplasms	Neoplasms	CDKN1B	2	1	1e-08	rs34330	0	1	rs34330	1	no	no		9		1	2	NA	prostatic neoplasms	Prostatic Neoplasms	Prostatic Neoplasms	ENSG00000111276
#181500 SCHIZOPHRENIA; SCZD	OMIM:181500	Omim	schizophrenia	Mental Disorders	DGCR8	1	4	1e-08	rs175174	0	1	rs9605065	0.884	no	no		9		1	2	NA	schizophrenia	Schizophrenia	Schizophrenia	ENSG00000128191
#181500 SCHIZOPHRENIA; SCZD	OMIM:181500	Omim	schizophrenia	Mental Disorders	RANBP1	2	2	1e-08	rs175174	0	1	rs2238799	0.914	no	no		9		1	2	NA	schizophrenia	Schizophrenia	Schizophrenia	ENSG00000099901
#181500 SCHIZOPHRENIA; SCZD	OMIM:181500	Omim	schizophrenia	Mental Disorders	TIMP4	2	2	1e-08	rs795009	0	1	rs308951	0.96	no	no		9		1	4	NA	schizophrenia	Schizophrenia	Schizophrenia	ENSG00000157150
#181500 SCHIZOPHRENIA; SCZD	OMIM:181500	Omim	schizophrenia	Mental Disorders	TRMT2A	2	3	1e-08	rs175174	0	1	rs2286929	0.906	no	no		9		1	2	NA	schizophrenia	Schizophrenia	Schizophrenia	ENSG00000099899
#181500 SCHIZOPHRENIA; SCZD	OMIM:181500	Omim	schizophrenia	Mental Disorders	ZDHHC8	2	1	1e-08	rs175174	0	1	rs175174	1	no	no		9		1	2	NA	schizophrenia	Schizophrenia	Schizophrenia	ENSG00000099904
#600652 DEAFNESS; AUTOSOMAL DOMINANT NONSYNDROMIC SENSORINEURAL 4; DFNA4	OMIM:600652	Omim	hearing loss, sensorineural	Otorhinolaryngologic Diseases	IZUMO2	2	1	1e-08	rs648298	0	1	rs605483	0.946	no	yes	4	4		1	2	NA	hearing loss, sensorineural	Hearing Loss, Sensorineural	Hearing Loss, Sensorineural	ENSG00000161652
#600652 DEAFNESS; AUTOSOMAL DOMINANT NONSYNDROMIC SENSORINEURAL 4; DFNA4	OMIM:600652	Omim	hearing loss, sensorineural	Otorhinolaryngologic Diseases	KLK1	3	2	1e-08	rs648298	0	1	rs638286	0.668	yes	no	1f	1f		1	2	NA	hearing loss, sensorineural	Hearing Loss, Sensorineural	Hearing Loss, Sensorineural	ENSG00000167748
#600652 DEAFNESS; AUTOSOMAL DOMINANT NONSYNDROMIC SENSORINEURAL 4; DFNA4	OMIM:600652	Omim	hearing loss, sensorineural	Otorhinolaryngologic Diseases	MYH14	3	3	1e-08	rs648298	0	1	rs638286	0.668	no	no	1f	1f		1	2	NA	hearing loss, sensorineural	Hearing Loss, Sensorineural	Hearing Loss, Sensorineural	ENSG00000105357
#600652 DEAFNESS; AUTOSOMAL DOMINANT NONSYNDROMIC SENSORINEURAL 4; DFNA4	OMIM:600652	Omim	hearing loss, sensorineural	Otorhinolaryngologic Diseases	SIGLEC11	3	4	1e-08	rs648298	0	1	rs638286	0.668	no	yes	1f	1f		1	2	NA	hearing loss, sensorineural	Hearing Loss, Sensorineural	Hearing Loss, Sensorineural	ENSG00000161640
#600807 ASTHMA; SUSCEPTIBILITY TO	OMIM:600807	Omim	asthma	Respiratory Tract Diseases	KCNS3	2	1	1e-08	rs1031771	0	1	rs1031771	1	no	no		9		1	4	NA	asthma	Asthma	Asthma	ENSG00000170745
#601665 OBESITY	OMIM:601665	Omim	obesity	Nutritional and Metabolic Diseases	CCDC93	2	1	1e-08	rs7566605	0	1	rs72838029	0.919	no	no		9		1	2	NA	obesity	Obesity	Obesity	ENSG00000125633
#601665 OBESITY	OMIM:601665	Omim	obesity	Nutritional and Metabolic Diseases	INSIG2	0	2	1e-08	rs7566605	0	1	rs72839614	0.677	no	no		9		1	2	NA	obesity	Obesity	Obesity	ENSG00000125629
#602475 OSSIFICATION OF THE POSTERIOR LONGITUDINAL LIGAMENT OF SPINE; OPLL	OMIM:602475	Omim	ossification, heterotopic	Pathological Conditions, Signs and Symptoms	NEK9	4	1	1e-08	rs2268624	0	1	rs2268625	1	yes	no		2		1	2	NA	ossification, heterotopic	Ossification, Heterotopic	Ossification, Heterotopic	ENSG00000119638
#602475 OSSIFICATION OF THE POSTERIOR LONGITUDINAL LIGAMENT OF SPINE; OPLL	OMIM:602475	Omim	ossification, heterotopic	Pathological Conditions, Signs and Symptoms	TGFB3	2	3	1e-08	rs2268624	0	1	rs2268624	1	no	no		9		1	2	NA	ossification, heterotopic	Ossification, Heterotopic	Ossification, Heterotopic	ENSG00000119699
#602475 OSSIFICATION OF THE POSTERIOR LONGITUDINAL LIGAMENT OF SPINE; OPLL	OMIM:602475	Omim	ossification, heterotopic	Pathological Conditions, Signs and Symptoms	TTLL5	4	2	1e-08	rs2268624	0	1	rs2268625	1	yes	no		2		1	2	NA	ossification, heterotopic	Ossification, Heterotopic	Ossification, Heterotopic	ENSG00000119685
#603903 SICKLE CELL ANEMIA	OMIM:603903	Omim	anemia, sickle cell	Hemic and Lymphatic Diseases	KL	2	1	1e-08	rs211239	0	1	rs211239	1	no	no		9		1	4	NA	anemia, sickle cell	Anemia, Sickle Cell	Anemia, Sickle Cell	ENSG00000133116
#604906 SCHIZOPHRENIA 9; SCZD9	OMIM:604906	Omim	schizophrenia	Mental Disorders	DISC1	2	1	1e-08	rs1000731	0	1	rs1000731	1	no	no		9		1	4	NA	schizophrenia	Schizophrenia	Schizophrenia	ENSG00000162946
#607154 ALLERGIC RHINITIS	OMIM:607154	Omim	rhinitis, allergic, perennial	Respiratory Tract Diseases	FOXJ1	2	1	1e-08	rs3192453	0	1	rs3192453	1	no	no		9		1	4	NA	rhinitis, allergic, perennial	Rhinitis, Allergic, Perennial	Rhinitis, Allergic, Perennial	ENSG00000129654
#607154 ALLERGIC RHINITIS	OMIM:607154	Omim	rhinitis, allergic, perennial	Respiratory Tract Diseases	RNF157	2	2	1e-08	rs880213	0	1	rs3744036	0.901	no	no		9		1	4	NA	rhinitis, allergic, perennial	Rhinitis, Allergic, Perennial	Rhinitis, Allergic, Perennial	ENSG00000141576
#607572 LEPROSY; SUSCEPTIBILITY TO; 2	OMIM:607572	Omim	leprosy	Bacterial Infections and Mycoses	PACRG	2	1	1e-08	rs1040079	0	1	rs1040079	1	no	no		9		1	2	NA	leprosy	Leprosy	Leprosy	ENSG00000112530
#607572 LEPROSY; SUSCEPTIBILITY TO; 2	OMIM:607572	Omim	leprosy	Bacterial Infections and Mycoses	PARK2	1	2	1e-08	rs1040079	0	1	rs2276201	0.823	no	no		9		1	2	NA	leprosy	Leprosy	Leprosy	ENSG00000185345
#607948 MYCOBACTERIUM TUBERCULOSIS; SUSCEPTIBILITY TO INFECTION BY	OMIM:607948	Omim	mycobacterium tuberculosis	Bacteria	SP110	6	1	1e-08	rs3948464	0	1	rs3948464	1	yes	no		0	missense_variant	0.811768164225173	4	NA	mycobacterium tuberculosis	Mycobacterium tuberculosis	Mycobacterium tuberculosis	ENSG00000135899
#608516 MAJOR DEPRESSIVE DISORDER; MDD	OMIM:608516	Omim	depressive disorder	Mental Disorders	SERGEF	2	2	1e-08	rs1799913	0	1	rs2237908	0.919	no	no		9		1	4	NA	depressive disorder	Depressive Disorder	Depressive Disorder	ENSG00000129158
#608516 MAJOR DEPRESSIVE DISORDER; MDD	OMIM:608516	Omim	depressive disorder	Mental Disorders	TPH1	2	1	1e-08	rs1799913	0	1	rs1799913	1	no	no		9		1	4	NA	depressive disorder	Depressive Disorder	Depressive Disorder	ENSG00000129167
#608636 AUTISM; SUSCEPTIBILITY TO; 1	OMIM:608636	Omim	autistic disorder	Mental Disorders	CNPY1	1	1	1e-08	rs1861972	0	1	rs10247302	0.854	no	yes	4	4		1	4	NA	autistic disorder	Autistic Disorder	Autistic Disorder	ENSG00000146910
#608636 AUTISM; SUSCEPTIBILITY TO; 1	OMIM:608636	Omim	autistic disorder	Mental Disorders	EN2	2	2	1e-08	rs1861972	0	1	rs1861972	1	no	no		9		1	4	NA	autistic disorder	Autistic Disorder	Autistic Disorder	ENSG00000164778
#609753 CELIAC DISEASE; SUSCEPTIBILITY TO; 4; CELIAC4	OMIM:609753	Omim	celiac disease	Digestive System Diseases	MYO9B	2	1	1e-08	rs2305764	0	1	rs2305764	1	no	no		9		1	4	NA	celiac disease	Celiac Disease	Celiac Disease	ENSG00000099331
#609753 CELIAC DISEASE; SUSCEPTIBILITY TO; 4; CELIAC4	OMIM:609753	Omim	celiac disease	Digestive System Diseases	USE1	0	2	1e-08	rs2305764	0	1	rs3906559	0.617	no	no		9		1	4	NA	celiac disease	Celiac Disease	Celiac Disease	ENSG00000053501
#609830 ABDOMINAL BODY FAT DISTRIBUTION	OMIM:609830	Omim	obesity, abdominal	Nutritional and Metabolic Diseases	DNMT3A	0	3	1e-08	rs1009388	0	1	rs752208	0.647	no	no		9		1	2	NA	obesity, abdominal	Obesity, Abdominal	Obesity, Abdominal	ENSG00000119772
#609830 ABDOMINAL BODY FAT DISTRIBUTION	OMIM:609830	Omim	obesity, abdominal	Nutritional and Metabolic Diseases	EFR3B	1	2	1e-08	rs1009388	0	1	rs3731631	0.782	no	no		9		1	4	NA	obesity, abdominal	Obesity, Abdominal	Obesity, Abdominal	ENSG00000084710
#609830 ABDOMINAL BODY FAT DISTRIBUTION	OMIM:609830	Omim	obesity, abdominal	Nutritional and Metabolic Diseases	POMC	2	1	1e-08	rs1009388	0	1	rs1009388	1	no	no		9		1	4	NA	obesity, abdominal	Obesity, Abdominal	Obesity, Abdominal	ENSG00000115138
%125480 MAJOR AFFECTIVE DISORDER 1; MAFD1	OMIM:125480	Omim	affective disorders, psychotic	Mental Disorders	C21orf2	0	5	1e-08	rs1556314	0	1	rs62220412	0.526	no	no		9		1	2	NA	affective disorders, psychotic	Affective Disorders, Psychotic	Affective Disorders, Psychotic	ENSG00000160226
%125480 MAJOR AFFECTIVE DISORDER 1; MAFD1	OMIM:125480	Omim	affective disorders, psychotic	Mental Disorders	C21orf90	2	3	1e-08	rs1556314	0	1	rs2276252	0.932	no	yes	4	4		1	4	NA	affective disorders, psychotic	Affective Disorders, Psychotic	Affective Disorders, Psychotic	ENSG00000182912
%125480 MAJOR AFFECTIVE DISORDER 1; MAFD1	OMIM:125480	Omim	affective disorders, psychotic	Mental Disorders	CUX2	2	1	1e-08	rs3847953	0	1	rs3847953	1	no	no		9		1	4	NA	affective disorders, psychotic	Affective Disorders, Psychotic	Affective Disorders, Psychotic	ENSG00000111249
%125480 MAJOR AFFECTIVE DISORDER 1; MAFD1	OMIM:125480	Omim	affective disorders, psychotic	Mental Disorders	FAM109A	2	1	1e-08	rs933399	0	1	rs933399	1	no	no		9		1	4	NA	affective disorders, psychotic	Affective Disorders, Psychotic	Affective Disorders, Psychotic	ENSG00000198324
%125480 MAJOR AFFECTIVE DISORDER 1; MAFD1	OMIM:125480	Omim	affective disorders, psychotic	Mental Disorders	KRTAP10-7	2	4	1e-08	rs1556314	0	1	rs2276252	0.932	no	yes	4	4		1	4	NA	affective disorders, psychotic	Affective Disorders, Psychotic	Affective Disorders, Psychotic	ENSG00000272804
%125480 MAJOR AFFECTIVE DISORDER 1; MAFD1	OMIM:125480	Omim	affective disorders, psychotic	Mental Disorders	PWP2	4	2	1e-08	rs1556314	0	1	rs11700418	0.905	no	yes	2b	2b		1	2	NA	affective disorders, psychotic	Affective Disorders, Psychotic	Affective Disorders, Psychotic	ENSG00000241945
%125480 MAJOR AFFECTIVE DISORDER 1; MAFD1	OMIM:125480	Omim	affective disorders, psychotic	Mental Disorders	TRPM2	6	1	1e-08	rs1556314	0	1	rs1556314	1	no	no		0	missense_variant	0.708784478957425	4	NA	affective disorders, psychotic	Affective Disorders, Psychotic	Affective Disorders, Psychotic	ENSG00000142185
%602404 PARKINSON DISEASE 3; AUTOSOMAL DOMINANT LEWY BODY; PARK3	OMIM:602404	Omim	parkinson disease	Nervous System Diseases	EXOC6B	1	2	1e-08	rs1876487	0	1	rs1532970	0.828	no	no		9		1	2	NA	parkinson disease	Parkinson Disease	Parkinson Disease	ENSG00000144036
%602404 PARKINSON DISEASE 3; AUTOSOMAL DOMINANT LEWY BODY; PARK3	OMIM:602404	Omim	parkinson disease	Nervous System Diseases	SPR	2	1	1e-08	rs1876487	0	1	rs1876487	1	no	no		9		1	2	NA	parkinson disease	Parkinson Disease	Parkinson Disease	ENSG00000116096
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	B3GNTL1	0	5	1e-08	rs3744165	0	1	rs35340496	0.636	no	no		9		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000175711
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	FN3K	1	4	1e-08	rs3744165	0	1	rs11871729	0.827	no	no		9		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000167363
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	FN3KRP	4	1	1e-08	rs3744165	0	1	rs3744165	1	yes	no		2		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000141560
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	NPTX1	4	1	1e-08	rs2019154	0	1	rs1485330	0.94	yes	no		2		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000171246
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	RNF213	2	3	1e-08	rs2019154	0	1	rs12952285	0.564	yes	no		2		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000173821
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	RPTOR	2	2	1e-08	rs2019154	0	1	rs2019154	1	no	no		9		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000141564
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	TBCD	4	2	1e-08	rs3744165	0	1	rs3744165	1	yes	no		2		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000141556
%602723 PSORIASIS SUSCEPTIBILITY 2; PSORS2	OMIM:602723	Omim	psoriasis	Skin and Connective Tissue Diseases	ZNF750	2	3	1e-08	rs3744165	0	1	rs3744165	1	no	no		9		1	2	NA	psoriasis	Psoriasis	Psoriasis	ENSG00000141579
%603176 SCHIZOPHRENIA 7; SCZD7	OMIM:603176	Omim	schizophrenia	Mental Disorders	DAOA	6	1	1e-08	rs2391191	0	1	rs2391191	1	no	no		0	missense_variant	0.360883837146637	4	NA	schizophrenia	Schizophrenia	Schizophrenia	ENSG00000182346
%604201 HEPATIC FIBROSIS; SEVERE; SUSCEPTIBILITY TO; DUE TO SCHISTOSOMA MANSONI	OMIM:604201	Omim	liver cirrhosis, biliary	Digestive System Diseases	IFNGR1	6	1	1e-08	rs1327475	0	1	rs1327475	1	no	no		0	missense_variant	0.320562441820587	2	NA	liver cirrhosis, biliary	Liver Cirrhosis, Biliary	Liver Cirrhosis, Biliary	ENSG00000027697
%604201 HEPATIC FIBROSIS; SEVERE; SUSCEPTIBILITY TO; DUE TO SCHISTOSOMA MANSONI	OMIM:604201	Omim	liver cirrhosis, biliary	Digestive System Diseases	IL22RA2	4	2	1e-08	rs1327475	0	1	rs10457655	1	no	yes	2b	2b		1	2	NA	liver cirrhosis, biliary	Liver Cirrhosis, Biliary	Liver Cirrhosis, Biliary	ENSG00000164485
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	ACSL6	2	2	1e-08	rs2070729	0	1	rs41525648	0.985	no	yes	4	4		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000164398
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	C5orf56	2	3	1e-08	rs2070729	0	1	rs41525648	0.985	no	yes	4	4		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000197536
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	GDF9	2	4	1e-08	rs2070729	0	1	rs41525648	0.985	no	yes	4	4		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000164404
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	IL13	2	5	1e-08	rs2070729	0	1	rs41525648	0.985	no	yes	4	4		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000169194
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	IL3	2	6	1e-08	rs2070729	0	1	rs41525648	0.985	no	yes	4	4		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000164399
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	IL4	2	7	1e-08	rs2070729	0	1	rs41525648	0.985	no	yes	4	4		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000113520
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	IL5	2	8	1e-08	rs2070729	0	1	rs41525648	0.985	no	yes	4	4		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000113525
%608174 AUTOIMMUNE THYROID DISEASE; SUSCEPTIBILITY TO; 2	OMIM:608174	Omim	thyroiditis, autoimmune	Endocrine System Diseases	IRF1	2	12	1e-08	rs2070729	0	1	rs2070729	1	no	no		9		1	2	NA	thyroiditis, autoimmune	Thyroiditis, Autoimmune	Thyroiditis, Autoimmune	ENSG00000125347
