MSH	ensembl_id	lApprovedUS.EU	Phase.Latest	First.Added	Inactive	symbol
Acute Chest Syndrome	ENSG00000188257	FALSE	unknown	1998-04-15	TRUE	PLA2G2A
Acute Coronary Syndrome	ENSG00000005381	FALSE	Phase I Clinical Trial	2012-08-10	TRUE	MPO
Acute Coronary Syndrome	ENSG00000005421	FALSE	Preclinical	2010-04-30	TRUE	PON1
Acute Coronary Syndrome	ENSG00000005961	TRUE	Approved	1991-08-15	TRUE	ITGA2B
Acute Coronary Syndrome	ENSG00000012779	FALSE	unknown	1994-10-15	TRUE	ALOX5
Acute Coronary Syndrome	ENSG00000057593	FALSE	unknown	1992-03-15	TRUE	F7
Acute Coronary Syndrome	ENSG00000073756	FALSE	Phase I Clinical Trial	2011-08-25	TRUE	PTGS2
Acute Coronary Syndrome	ENSG00000087237	FALSE	Phase III Clinical Trial	2001-08-21	FALSE	CETP
Acute Coronary Syndrome	ENSG00000088053	FALSE	Phase II Clinical Trial	2004-01-23	TRUE	GP6
Acute Coronary Syndrome	ENSG00000095303	FALSE	Phase I Clinical Trial	2011-08-25	TRUE	PTGS1
Acute Coronary Syndrome	ENSG00000101981	FALSE	Phase II Clinical Trial	2004-01-19	TRUE	F9
Acute Coronary Syndrome	ENSG00000109320	FALSE	unknown	1994-09-15	TRUE	NFKB1
Acute Coronary Syndrome	ENSG00000110799	FALSE	unknown	2003-07-09	TRUE	VWF
Acute Coronary Syndrome	ENSG00000112062	FALSE	Phase III Clinical Trial	2006-05-19	TRUE	MAPK14
Acute Coronary Syndrome	ENSG00000113161	FALSE	unknown	1997-02-15	TRUE	HMGCR
Acute Coronary Syndrome	ENSG00000117525	FALSE	Phase I Clinical Trial	1992-03-15	TRUE	F3
Acute Coronary Syndrome	ENSG00000117601	TRUE	Approved	1989-11-15	TRUE	SERPINC1
Acute Coronary Syndrome	ENSG00000118137	FALSE	Phase III Clinical Trial	2006-04-04	TRUE	APOA1
Acute Coronary Syndrome	ENSG00000122861	FALSE	Preclinical	2013-05-22	TRUE	PLAU
Acute Coronary Syndrome	ENSG00000125538	FALSE	unknown	2006-01-18	TRUE	IL1B
Acute Coronary Syndrome	ENSG00000126218	TRUE	Approved	1992-03-15	TRUE	F10
Acute Coronary Syndrome	ENSG00000130203	FALSE	Preclinical	2010-04-30	TRUE	APOE
Acute Coronary Syndrome	ENSG00000131408	FALSE	Preclinical	2014-07-21	TRUE	NR1H2
Acute Coronary Syndrome	ENSG00000143839	FALSE	Phase II Clinical Trial	2000-11-23	TRUE	REN
Acute Coronary Syndrome	ENSG00000144891	FALSE	Phase III Clinical Trial	1992-05-15	FALSE	AGTR1
Acute Coronary Syndrome	ENSG00000146070	FALSE	unknown	2000-11-07	TRUE	PLA2G7
Acute Coronary Syndrome	ENSG00000150782	FALSE	Phase I Clinical Trial	2011-03-26	TRUE	IL18
Acute Coronary Syndrome	ENSG00000159640	FALSE	Phase II Clinical Trial	2003-06-05	TRUE	ACE
Acute Coronary Syndrome	ENSG00000164111	FALSE	Preclinical	2008-08-15	TRUE	ANXA5
Acute Coronary Syndrome	ENSG00000169174	FALSE	Phase II Clinical Trial	2009-10-13	TRUE	PCSK9
Acute Coronary Syndrome	ENSG00000169313	TRUE	Approved	1993-08-15	TRUE	P2RY12
Acute Coronary Syndrome	ENSG00000171105	FALSE	Phase III Clinical Trial	NA	TRUE	INSR
Acute Coronary Syndrome	ENSG00000174175	FALSE	unknown	2006-11-27	TRUE	SELP
Acute Coronary Syndrome	ENSG00000180210	TRUE	Approved	1991-02-15	TRUE	F2
Acute Coronary Syndrome	ENSG00000181104	FALSE	Phase II Clinical Trial	2003-03-03	TRUE	F2R
Acute Coronary Syndrome	ENSG00000185245	FALSE	Phase II Clinical Trial	2009-10-08	FALSE	GP1BA
Acute Coronary Syndrome	ENSG00000196611	FALSE	unknown	1995-06-15	TRUE	MMP1
Acute Coronary Syndrome	ENSG00000205542	FALSE	Phase I Clinical Trial	2012-03-22	FALSE	TMSB4X
Acute Coronary Syndrome	ENSG00000213398	FALSE	Phase II Clinical Trial	NA	FALSE	LCAT
Acute Coronary Syndrome	ENSG00000259207	TRUE	Approved	1991-08-15	TRUE	ITGB3
Acute Coronary Syndrome	ENSG00000269858	FALSE	Preclinical	2008-05-27	TRUE	EGLN2
Acute Kidney Injury	ENSG00000019991	FALSE	Phase II Clinical Trial	2007-09-21	FALSE	HGF
Acute Kidney Injury	ENSG00000082701	FALSE	Preclinical	2009-02-05	FALSE	GSK3B
Acute Kidney Injury	ENSG00000088832	FALSE	Preclinical	2017-10-24	FALSE	FKBP1A
Acute Kidney Injury	ENSG00000096717	FALSE	Preclinical	2015-10-13	FALSE	SIRT1
Acute Kidney Injury	ENSG00000100644	FALSE	Preclinical	2010-01-05	TRUE	HIF1A
Acute Kidney Injury	ENSG00000112062	FALSE	Phase II Clinical Trial	2008-12-03	FALSE	MAPK14
Acute Kidney Injury	ENSG00000115718	FALSE	unknown	2007-05-03	TRUE	PROC
Acute Kidney Injury	ENSG00000116044	FALSE	Phase I Clinical Trial	2014-05-03	FALSE	NFE2L2
Acute Kidney Injury	ENSG00000117298	FALSE	Preclinical	2000-10-02	TRUE	ECE1
Acute Kidney Injury	ENSG00000120156	FALSE	Preclinical	2017-04-12	FALSE	TEK
Acute Kidney Injury	ENSG00000123358	FALSE	Preclinical	2016-12-08	FALSE	NR4A1
Acute Kidney Injury	ENSG00000124089	FALSE	Preclinical	2004-11-02	TRUE	MC3R
Acute Kidney Injury	ENSG00000136160	FALSE	Preclinical	1994-08-15	TRUE	EDNRB
Acute Kidney Injury	ENSG00000136869	FALSE	Preclinical	2011-11-27	TRUE	TLR4
Acute Kidney Injury	ENSG00000138735	FALSE	Preclinical	1996-06-15	TRUE	PDE5A
Acute Kidney Injury	ENSG00000141510	FALSE	Phase II Clinical Trial	2003-10-14	FALSE	TP53
Acute Kidney Injury	ENSG00000150281	FALSE	unknown	NA	TRUE	CTF1
Acute Kidney Injury	ENSG00000151617	FALSE	Phase I Clinical Trial	1994-08-15	TRUE	EDNRA
Acute Kidney Injury	ENSG00000156110	FALSE	Preclinical	2016-08-11	TRUE	ADK
Acute Kidney Injury	ENSG00000159339	FALSE	Preclinical	2017-10-06	FALSE	PADI4
Acute Kidney Injury	ENSG00000163485	FALSE	Phase II Clinical Trial	1990-09-15	TRUE	ADORA1
Acute Kidney Injury	ENSG00000166603	FALSE	Preclinical	2004-11-02	TRUE	MC4R
Acute Kidney Injury	ENSG00000169418	FALSE	Phase I Clinical Trial	1990-02-15	TRUE	NPR1
Acute Kidney Injury	ENSG00000170820	FALSE	Preclinical	2012-09-18	FALSE	FSHR
Acute Kidney Injury	ENSG00000171791	FALSE	Preclinical	2008-04-02	TRUE	BCL2
Acute Kidney Injury	ENSG00000176136	FALSE	Preclinical	2004-11-02	TRUE	MC5R
Acute Kidney Injury	ENSG00000178562	FALSE	Preclinical	2009-06-29	FALSE	CD28
Acute Kidney Injury	ENSG00000186951	FALSE	Preclinical	2015-10-13	FALSE	PPARA
Acute Kidney Injury	ENSG00000196262	FALSE	unknown	2004-04-27	TRUE	PPIA
Acute Kidney Injury	ENSG00000197442	FALSE	Preclinical	2017-10-05	FALSE	MAP3K5
Acute Kidney Injury	ENSG00000258839	FALSE	Preclinical	2004-11-02	TRUE	MC1R
Acute Lung Injury	ENSG00000007908	FALSE	Phase I Clinical Trial	1994-02-15	TRUE	SELE
Acute Lung Injury	ENSG00000019991	FALSE	unknown	2009-01-13	TRUE	HGF
Acute Lung Injury	ENSG00000067182	FALSE	Phase II Clinical Trial	2009-11-16	TRUE	TNFRSF1A
Acute Lung Injury	ENSG00000082781	FALSE	Preclinical	NA	TRUE	ITGB5
Acute Lung Injury	ENSG00000091879	FALSE	Preclinical	2006-11-07	TRUE	ANGPT2
Acute Lung Injury	ENSG00000106799	FALSE	Preclinical	2003-07-10	TRUE	TGFBR1
Acute Lung Injury	ENSG00000112062	FALSE	Phase II Clinical Trial	2003-12-08	TRUE	MAPK14
Acute Lung Injury	ENSG00000114812	FALSE	Phase I Clinical Trial	2003-12-09	TRUE	VIPR1
Acute Lung Injury	ENSG00000117525	FALSE	Phase II Clinical Trial	2003-04-08	FALSE	F3
Acute Lung Injury	ENSG00000128271	FALSE	unknown	1998-08-15	TRUE	ADORA2A
Acute Lung Injury	ENSG00000130234	FALSE	Phase II Clinical Trial	2007-07-13	FALSE	ACE2
Acute Lung Injury	ENSG00000130368	FALSE	Preclinical	2010-09-20	TRUE	MAS1
Acute Lung Injury	ENSG00000136869	FALSE	Preclinical	2009-06-04	FALSE	TLR4
Acute Lung Injury	ENSG00000138448	FALSE	Preclinical	NA	TRUE	ITGAV
Acute Lung Injury	ENSG00000142166	FALSE	Phase III Clinical Trial	NA	FALSE	IFNAR1
Acute Lung Injury	ENSG00000149021	FALSE	Preclinical	2009-07-17	TRUE	SCGB1A1
Acute Lung Injury	ENSG00000159110	FALSE	Phase III Clinical Trial	NA	FALSE	IFNAR2
Acute Lung Injury	ENSG00000163737	FALSE	Preclinical	2009-12-01	TRUE	PF4
Acute Lung Injury	ENSG00000165527	FALSE	Preclinical	2014-10-21	FALSE	ARF6
Acute Lung Injury	ENSG00000166311	FALSE	Preclinical	2009-10-20	TRUE	SMPD1
Acute Lung Injury	ENSG00000168209	FALSE	unknown	2003-10-14	TRUE	DDIT4
Acute Lung Injury	ENSG00000169429	FALSE	unknown	2005-10-17	TRUE	CXCL8
Acute Lung Injury	ENSG00000170458	FALSE	unknown	1999-01-25	TRUE	CD14
Acute Lung Injury	ENSG00000174175	FALSE	Phase I Clinical Trial	1994-02-15	TRUE	SELP
Acute Lung Injury	ENSG00000188404	FALSE	Phase I Clinical Trial	1994-02-15	TRUE	SELL
Acute Lung Injury	ENSG00000197249	FALSE	Preclinical	2009-12-01	TRUE	SERPINA1
Acute Lung Injury	ENSG00000197561	FALSE	Approved	1991-08-15	TRUE	ELANE
Acute Lung Injury	ENSG00000261371	FALSE	Preclinical	2010-04-29	TRUE	PECAM1
Acute Lung Injury	ENSG00000271503	FALSE	Preclinical	2009-12-01	TRUE	CCL5
Addison Disease	ENSG00000057252	FALSE	Phase II Clinical Trial	NA	FALSE	SOAT1
Addison Disease	ENSG00000113580	TRUE	Approved	2014-11-28	TRUE	NR3C1
Addison Disease	ENSG00000120088	FALSE	Phase II Clinical Trial	2007-03-15	TRUE	CRHR1
Addison Disease	ENSG00000169083	FALSE	unknown	1997-09-15	TRUE	AR
Addison Disease	ENSG00000185231	FALSE	Approved	2013-09-03	TRUE	MC2R
Adenoma	ENSG00000073756	TRUE	Approved	1996-10-15	TRUE	PTGS2
Adenoma	ENSG00000104267	FALSE	unknown	2006-08-11	TRUE	CA2
Adenoma	ENSG00000113712	FALSE	Preclinical	2014-08-02	TRUE	CSNK1A1
Adenoma	ENSG00000115758	FALSE	Phase III Clinical Trial	1996-05-15	TRUE	ODC1
Adenoma	ENSG00000116478	FALSE	unknown	2003-02-03	TRUE	HDAC1
Adenoma	ENSG00000138735	FALSE	unknown	1994-12-15	TRUE	PDE5A
Adenoma	ENSG00000159640	FALSE	Preclinical	2016-12-28	FALSE	ACE
Adenoma	ENSG00000168036	FALSE	Phase II Clinical Trial	2007-06-04	FALSE	CTNNB1
Adenoma	ENSG00000186642	FALSE	unknown	1994-12-15	TRUE	PDE2A
Adenoma	ENSG00000188389	FALSE	Phase I Clinical Trial	2014-11-15	FALSE	PDCD1
Adenoma	ENSG00000196591	FALSE	unknown	2003-02-03	TRUE	HDAC2
Adenoviridae Infections	ENSG00000100312	FALSE	unknown	2002-03-20	TRUE	ACR
Adenoviridae Infections	ENSG00000113580	FALSE	Phase III Clinical Trial	NA	FALSE	NR3C1
Adenoviridae Infections	ENSG00000114378	FALSE	unknown	2002-03-20	TRUE	HYAL1
Adenoviridae Infections	ENSG00000128052	FALSE	Preclinical	2017-12-19	FALSE	KDR
Adrenal Gland Neoplasms	ENSG00000037280	FALSE	Phase I Clinical Trial	2003-08-12	TRUE	FLT4
Adrenal Gland Neoplasms	ENSG00000057252	FALSE	Phase I Clinical Trial	NA	FALSE	SOAT1
Adrenal Gland Neoplasms	ENSG00000066468	FALSE	Phase I Clinical Trial	2009-10-16	FALSE	FGFR2
Adrenal Gland Neoplasms	ENSG00000067182	FALSE	Phase I Clinical Trial	2003-05-23	TRUE	TNFRSF1A
Adrenal Gland Neoplasms	ENSG00000068078	FALSE	Phase I Clinical Trial	2009-10-16	FALSE	FGFR3
Adrenal Gland Neoplasms	ENSG00000077782	FALSE	Phase I Clinical Trial	2009-10-16	FALSE	FGFR1
Adrenal Gland Neoplasms	ENSG00000101412	FALSE	Phase I Clinical Trial	2001-02-02	TRUE	E2F1
Adrenal Gland Neoplasms	ENSG00000102755	FALSE	unknown	2003-12-08	TRUE	FLT1
Adrenal Gland Neoplasms	ENSG00000105851	FALSE	Phase I Clinical Trial	2015-09-21	FALSE	PIK3CG
Adrenal Gland Neoplasms	ENSG00000106799	FALSE	Phase I Clinical Trial	2003-09-17	FALSE	TGFBR1
Adrenal Gland Neoplasms	ENSG00000112715	FALSE	Phase I Clinical Trial	2003-08-12	TRUE	VEGFA
Adrenal Gland Neoplasms	ENSG00000116016	FALSE	Preclinical	2015-07-29	TRUE	EPAS1
Adrenal Gland Neoplasms	ENSG00000123374	FALSE	Phase I Clinical Trial	1997-05-15	TRUE	CDK2
Adrenal Gland Neoplasms	ENSG00000128052	FALSE	Phase I Clinical Trial	2003-08-12	TRUE	KDR
Adrenal Gland Neoplasms	ENSG00000131724	FALSE	unknown	1996-10-15	TRUE	IL13RA1
Adrenal Gland Neoplasms	ENSG00000134058	FALSE	Phase I Clinical Trial	1997-05-15	TRUE	CDK7
Adrenal Gland Neoplasms	ENSG00000136807	FALSE	Phase I Clinical Trial	1997-05-15	TRUE	CDK9
Adrenal Gland Neoplasms	ENSG00000136931	FALSE	Preclinical	2010-09-02	FALSE	NR5A1
Adrenal Gland Neoplasms	ENSG00000140443	FALSE	Phase I Clinical Trial	2006-04-25	TRUE	IGF1R
Adrenal Gland Neoplasms	ENSG00000141736	FALSE	Phase I Clinical Trial	2003-08-12	TRUE	ERBB2
Adrenal Gland Neoplasms	ENSG00000146648	FALSE	Phase I Clinical Trial	2003-08-12	TRUE	EGFR
Adrenal Gland Neoplasms	ENSG00000166851	FALSE	Preclinical	2008-04-11	TRUE	PLK1
Adrenal Gland Neoplasms	ENSG00000167658	FALSE	unknown	1996-10-15	TRUE	EEF2
Adrenal Gland Neoplasms	ENSG00000170558	FALSE	unknown	1999-06-30	TRUE	CDH2
Adrenal Gland Neoplasms	ENSG00000174807	FALSE	Phase I Clinical Trial	2004-10-18	FALSE	CD248
Adrenal Gland Neoplasms	ENSG00000178568	FALSE	unknown	2003-12-08	TRUE	ERBB4
Adrenal Gland Neoplasms	ENSG00000196411	FALSE	Phase I Clinical Trial	2003-08-12	TRUE	EPHB4
Adrenal Gland Neoplasms	ENSG00000197122	FALSE	Phase I Clinical Trial	2003-08-12	TRUE	SRC
Adrenal Gland Neoplasms	ENSG00000198900	FALSE	unknown	2007-03-28	TRUE	TOP1
Adrenoleukodystrophy	ENSG00000101986	FALSE	Phase III Clinical Trial	2005-01-10	TRUE	ABCD1
Adrenoleukodystrophy	ENSG00000121966	FALSE	unknown	2000-06-06	TRUE	CXCR4
Adrenoleukodystrophy	ENSG00000132170	FALSE	Phase III Clinical Trial	NA	FALSE	PPARG
Adrenoleukodystrophy	ENSG00000151090	FALSE	Preclinical	2005-04-25	TRUE	THRB
Adrenoleukodystrophy	ENSG00000159110	FALSE	unknown	NA	TRUE	IFNAR2
Adrenoleukodystrophy	ENSG00000160791	FALSE	unknown	2000-06-06	TRUE	CCR5
Adrenoleukodystrophy	ENSG00000171862	FALSE	Preclinical	1999-02-15	FALSE	PTEN
Adrenoleukodystrophy	ENSG00000197272	FALSE	Phase III Clinical Trial	2004-08-03	FALSE	IL27
Adrenoleukodystrophy	ENSG00000198793	FALSE	Preclinical	1999-02-15	FALSE	MTOR
Affective Symptoms	ENSG00000116329	FALSE	Phase I Clinical Trial	2008-01-16	FALSE	OPRD1
Affective Symptoms	ENSG00000147955	TRUE	Approved	1999-01-15	FALSE	SIGMAR1
Affective Symptoms	ENSG00000176884	TRUE	Approved	1999-01-15	FALSE	GRIN1
Afibrinogenemia	ENSG00000171557	TRUE	Approved	1999-07-08	TRUE	FGG
Afibrinogenemia	ENSG00000171560	TRUE	Approved	1999-07-08	TRUE	FGA
Afibrinogenemia	ENSG00000171564	TRUE	Approved	1999-07-08	TRUE	FGB
Afibrinogenemia	ENSG00000180210	FALSE	Approved	NA	FALSE	F2
Agammaglobulinemia	ENSG00000010671	FALSE	Preclinical	2011-05-23	TRUE	BTK
Agranulocytosis	ENSG00000198223	TRUE	Approved	NA	FALSE	CSF2RA
AIDS Dementia Complex	ENSG00000111537	FALSE	Preclinical	2003-10-06	TRUE	IFNG
AIDS Dementia Complex	ENSG00000169403	FALSE	unknown	NA	TRUE	PTAFR
AIDS Dementia Complex	ENSG00000172216	FALSE	Preclinical	1994-11-15	TRUE	CEBPB
AIDS Dementia Complex	ENSG00000176884	FALSE	Phase II Clinical Trial	NA	TRUE	GRIN1
AIDS Dementia Complex	ENSG00000197919	FALSE	Preclinical	2003-10-06	TRUE	IFNA1
Akathisia, Drug-Induced	ENSG00000128271	FALSE	unknown	1995-06-15	TRUE	ADORA2A
Alagille Syndrome	ENSG00000012504	FALSE	Phase II Clinical Trial	1999-03-17	FALSE	NR1H4
Albinism	ENSG00000258839	FALSE	Preclinical	2003-06-05	TRUE	MC1R
Alcoholic Intoxication	ENSG00000111275	FALSE	Preclinical	2014-08-27	TRUE	ALDH2
Alcoholism	ENSG00000011677	TRUE	Approved	2009-07-16	FALSE	GABRA3
Alcoholism	ENSG00000022355	TRUE	Approved	2009-07-16	FALSE	GABRA1
Alcoholism	ENSG00000065989	FALSE	Phase II Clinical Trial	NA	FALSE	PDE4A
Alcoholism	ENSG00000069535	FALSE	Preclinical	2012-07-03	FALSE	MAOB
Alcoholism	ENSG00000069696	FALSE	Phase II Clinical Trial	1989-12-15	TRUE	DRD4
Alcoholism	ENSG00000080644	FALSE	unknown	2010-11-08	TRUE	CHRNA3
Alcoholism	ENSG00000082556	TRUE	Approved	1999-04-21	TRUE	OPRK1
Alcoholism	ENSG00000087085	FALSE	Preclinical	2002-07-03	TRUE	ACHE
Alcoholism	ENSG00000101180	TRUE	Approved	2005-10-18	TRUE	HRH3
Alcoholism	ENSG00000102468	FALSE	Phase II Clinical Trial	1989-12-15	TRUE	HTR2A
Alcoholism	ENSG00000103546	FALSE	Preclinical	2002-02-26	TRUE	SLC6A2
Alcoholism	ENSG00000105650	FALSE	Phase II Clinical Trial	NA	FALSE	PDE4C
Alcoholism	ENSG00000108576	TRUE	Approved	2002-02-26	TRUE	SLC6A4
Alcoholism	ENSG00000111275	FALSE	Phase I Clinical Trial	2007-01-29	TRUE	ALDH2
Alcoholism	ENSG00000112038	TRUE	Approved	1999-04-21	TRUE	OPRM1
Alcoholism	ENSG00000112541	FALSE	Phase II Clinical Trial	NA	FALSE	PDE10A
Alcoholism	ENSG00000113448	FALSE	Phase II Clinical Trial	NA	FALSE	PDE4D
Alcoholism	ENSG00000115353	FALSE	Phase II Clinical Trial	1999-06-01	TRUE	TACR1
Alcoholism	ENSG00000116329	FALSE	Phase II Clinical Trial	2008-01-29	TRUE	OPRD1
Alcoholism	ENSG00000117971	FALSE	unknown	2010-11-08	TRUE	CHRNB4
Alcoholism	ENSG00000118432	FALSE	unknown	1994-02-15	TRUE	CNR1
Alcoholism	ENSG00000120907	FALSE	Phase I Clinical Trial	2007-04-02	TRUE	ADRA1A
Alcoholism	ENSG00000121764	FALSE	Preclinical	2012-03-22	FALSE	HCRTR1
Alcoholism	ENSG00000121853	FALSE	Preclinical	2004-03-12	TRUE	GHSR
Alcoholism	ENSG00000125510	FALSE	Phase II Clinical Trial	2009-10-01	TRUE	OPRL1
Alcoholism	ENSG00000128655	FALSE	Phase II Clinical Trial	NA	FALSE	PDE11A
Alcoholism	ENSG00000132170	FALSE	Preclinical	2009-09-28	FALSE	PPARG
Alcoholism	ENSG00000133019	FALSE	Phase I Clinical Trial	2007-04-02	TRUE	CHRM3
Alcoholism	ENSG00000136869	FALSE	Phase II Clinical Trial	NA	FALSE	TLR4
Alcoholism	ENSG00000142319	FALSE	Preclinical	2002-02-26	TRUE	SLC6A3
Alcoholism	ENSG00000147246	FALSE	Phase II Clinical Trial	1989-12-15	TRUE	HTR2C
Alcoholism	ENSG00000149295	FALSE	Phase III Clinical Trial	1989-12-15	TRUE	DRD2
Alcoholism	ENSG00000150594	FALSE	unknown	NA	TRUE	ADRA2A
Alcoholism	ENSG00000151577	FALSE	Phase II Clinical Trial	1989-12-15	TRUE	DRD3
Alcoholism	ENSG00000151834	TRUE	Approved	2009-07-16	FALSE	GABRA2
Alcoholism	ENSG00000153956	FALSE	Phase II Clinical Trial	2002-11-25	FALSE	CACNA2D1
Alcoholism	ENSG00000155511	FALSE	Phase II Clinical Trial	2011-05-26	TRUE	GRIA1
Alcoholism	ENSG00000158748	FALSE	Phase I Clinical Trial	2007-04-02	TRUE	HTR6
Alcoholism	ENSG00000166736	FALSE	Phase II Clinical Trial	2007-04-02	TRUE	HTR3A
Alcoholism	ENSG00000168539	FALSE	Phase I Clinical Trial	2007-04-02	TRUE	CHRM1
Alcoholism	ENSG00000168959	FALSE	Phase II Clinical Trial	2013-05-04	FALSE	GRM5
Alcoholism	ENSG00000169836	FALSE	unknown	2009-03-06	TRUE	TACR3
